tokens_stemmed,clean_text_final
"['info', 'tenant', 'info', 'daftar', 'menu', 'pricelist', 'klik', 'hypr', 'caffein', 'muncul', 'daftar', 'menu', 'harga']",info tenant info daftar menu pricelist klik hypr caffein muncul daftar menu harga
"['bayar', 'pake', 'blu']",bayar pake blu
"['mode', 'bayar', 'batas', 'luas']",mode bayar batas luas
"['pakai', 'nonaktif', 'playstore', 'susah', 'pemberitahuan']",pakai nonaktif playstore susah pemberitahuan
"['rugi', 'kali', 'bayar', 'isa', 'trouble', 'gagal', 'etik', 'ulang', 'bayar', 'lg', 'alhasil', 'sy', 'beli', 'tiket', 'sma', 'traublerugi', 'bnget', 'si', 'uninstall', 'sihgak', 'guna']",rugi kali bayar isa trouble gagal etik ulang bayar lg alhasil sy beli tiket sma traublerugi bnget si uninstall sihgak guna
"['metode', 'bayar', 'batas', 'bikin', 'males']",metode bayar batas bikin males
"['gila', 'nyusahin', 'sampah']",gila nyusahin sampah
"['instal', 'langsung', 'delete', 'opsi', 'bayar']",instal langsung delete opsi bayar
"['bayar', 'ribet', 'bsa', 'pake', 'dana']",bayar ribet bsa pake dana
"['moda', 'raya', 'padu', 'jakarta']",moda raya padu jakarta
"['top', 'lengkap', 'pke', 'wallet', 'laen']",top lengkap pke wallet laen
"['parah', 'jelek', 'baru', 'akses']",parah jelek baru akses
"['update', 'metode', 'bayar', 'opsi', 'ewallet', 'bank', 'tuh', 'ewallet', 'ayo', 'tambahin', 'males', 'mass', 'rapid', 'transit']",update metode bayar opsi ewallet bank tuh ewallet ayo tambahin males mass rapid transit
"['opsi', 'bayar', 'dikit', 'gopay', 'ovo', 'shopee', 'debit', 'kredit', 'cash', 'lwt', 'indoalfa', 'va']",opsi bayar dikit gopay ovo shopee debit kredit cash lwt indoalfa va
"['diinstall', 'pilih', 'bayar', 'familiar', 'uninstall', 'mohon', 'metode', 'bayar', 'variasi']",diinstall pilih bayar familiar uninstall mohon metode bayar variasi
"['bodooh', 'bodoooh', 'bayar', 'susaaaah']",bodooh bodoooh bayar susaaaah
['akses'],akses
['bagus'],bagus
"['metode', 'bayar', 'update']",metode bayar update
"['guna', 'rakyat']",guna rakyat
"['bayar', 'batas']",bayar batas
"['gabisa', 'pake', 'dana', 'mudah', 'sulit', 'adakan', 'metode', 'bayar', 'ewallet']",gabisa pake dana mudah sulit adakan metode bayar ewallet
"['pegembang', 'apaannnn']",pegembang apaannnn
"['tgl', 'jam', 'error', 'bayar', 'metode', 'isa', 'tolong', 'baik', 'eror', 'pagi', 'rugi', 'guna']",tgl jam error bayar metode isa tolong baik eror pagi rugi guna
"['kocak', 'bayar', 'pake', 'ovodanagopay', 'mudah', 'memper', 'sulit']",kocak bayar pake ovodanagopay mudah memper sulit
"['uninstalllll', 'susah', 'topup', 'bayar', 'cuman', 'ewallet', 'tenar', 'jarang', 'orang', 'pakai', 'astrapay', 'isa', 'jaman', 'maju', 'mass', 'rapid', 'transit', 'mundur', 'bayar', 'pakai', 'tf', 'bank', 'wallet', 'populer', 'gopay', 'ovo', 'shopeepay', 'mudah', 'orang', 'sulit']",uninstalllll susah topup bayar cuman ewallet tenar jarang orang pakai astrapay isa jaman maju mass rapid transit mundur bayar pakai tf bank wallet populer gopay ovo shopeepay mudah orang sulit
[],
"['istri', 'wedding']",istri wedding
"['proses', 'bayar', 'error', 'akun', 'ewallet', 'hubung', 'akun', 'pake', 'isa', 'astrapay', 'akun', 'gagal', 'laku', 'bayar', 'notif', 'bayar', 'tix', 'id', 'error', 'tiba2', 'tix', 'id', 'random', 'coba', 'hasil', 'tiket', 'pesan', 'double', 'gimana', 'cerita', 'batal', 'mantap']",proses bayar error akun ewallet hubung akun pake isa astrapay akun gagal laku bayar notif bayar tix id error tiba2 tix id random coba hasil tiket pesan double gimana cerita batal mantap
"['jelek', 'pakai']",jelek pakai
"['updat', 'aneh', 'metode', 'bayar', 'praktis', 'hapus']",updat aneh metode bayar praktis hapus
"['top', 'pakai', 'qris', 'dana', 'gopay', 'bikin', 'ribet', 'jangkau', 'luas', 'terimakasih']",top pakai qris dana gopay bikin ribet jangkau luas terimakasih
"['buka', 'tulis', 'kembang', 'trus', 'suruh', 'mati', 'hp', 'restart', 'buka']",buka tulis kembang trus suruh mati hp restart buka
"['kacau', 'pagi', 'mu', 'order', 'tiket', 'error', 'pilih', 'bayar', 'untung', 'bawa', 'emoney']",kacau pagi mu order tiket error pilih bayar untung bawa emoney
"['ni', 'bayar', 'mass', 'rapid', 'transit', 'jakarta', 'tiba2', 'data', 'kosong', 'coba', 'jelasin']",ni bayar mass rapid transit jakarta tiba2 data kosong coba jelasin
"['coba', 'beli', 'tiket', 'eh', 'metode', 'bayar', 'bener2', 'gila']",coba beli tiket eh metode bayar bener2 gila
"['aneh', 'beli', 'tiket', 'metode', 'bayar', 'field', 'checkout', 'set', 'metode', 'bayar', 'profile', 'ewallet', 'bank']",aneh beli tiket metode bayar field checkout set metode bayar profile ewallet bank
"['payah', 'bayar', 'repot']",payah bayar repot
"['salah', 'klik', 'beli', 'tiket', 'gabisa', 'refund', 'parah', 'gabisa', 'cancel']",salah klik beli tiket gabisa refund parah gabisa cancel
"['ribet', 'beli', 'tiket']",ribet beli tiket
"['pakai', 'ni', 'update', 'sulit', 'guna', 'kecewa']",pakai ni update sulit guna kecewa
[],
"['bayar', 'sulit', 'update', 'langsung', 'terinstal']",bayar sulit update langsung terinstal
"['akun', 'deteksi', 'opsi', 'kembang', 'maksud', 'sy', 'masuk']",akun deteksi opsi kembang maksud sy masuk
"['mode', 'bayar', 'bank', 'tambahin', 'blu', 'doang']",mode bayar bank tambahin blu doang
"['tambahin', 'bayar', 'pake', 'gopay', 'dana', 'plisss']",tambahin bayar pake gopay dana plisss
"['update', 'sampah', 'ni', 'guna', 'bayar', 'pake', 'ewallet', 'astra', 'bank', 'blu', 'doang', 'sarat', 'penting', 'usaha', 'pikir', 'penting', 'masyarakat', 'bumn', 'transportasi', 'milik', 'negaradaerah', 'personal', 'lucu', 'negeri', 'parah', 'kacaw', 'penuh', 'penting', 'pribadi']",update sampah ni guna bayar pake ewallet astra bank blu doang sarat penting usaha pikir penting masyarakat bumn transportasi milik negaradaerah personal lucu negeri parah kacaw penuh penting pribadi
"['payment', 'online', 'jarang', 'orang', 'pakai', 'bikin', 'ribet', 'balikin', 'donk', 'wallet', 'gopay', 'ovo']",payment online jarang orang pakai bikin ribet balikin donk wallet gopay ovo
"['metode', 'bayar', 'astrapay', 'isa', 'blu', 'batas', 'orang', 'okupansi', 'mass', 'rapid', 'transit', 'ribu', 'rata2', 'pakai', 'ribu', 'alias', 'kapasitas', 'klo', 'maksimal', 'luas', 'kanal', 'metode', 'bayar', 'populer', 'shopeepay', 'gopay', 'via', 'mobile', 'banking']",metode bayar astrapay isa blu batas orang okupansi mass rapid transit ribu rata2 pakai ribu alias kapasitas klo maksimal luas kanal metode bayar populer shopeepay gopay via mobile banking
"['developer', 'sedia', 'metode', 'bayar', 'ewallet', 'dana', 'ovo', 'gopay', 'mudah', 'konsumen', 'jga', 'klo', 'metode', 'bayar', 'jarang', 'pakai', 'sulit']",developer sedia metode bayar ewallet dana ovo gopay mudah konsumen jga klo metode bayar jarang pakai sulit
['top'],top
"['kembali', 'ewallet', '', 'ku', 'pakai', 'gopay', 'braktis']",kembali ewallet  ku pakai gopay braktis
"['gabisa', 'pake', 'gopay']",gabisa pake gopay
"['apk', 'tolol', 'kode', 'otp']",apk tolol kode otp
"['kali', 'beli', 'ticket', 'munculbaru', 'jadi', 'konfirm', 'blubca', 'gabisa', 'refund', 'konfirm', 'langsung', 'ribet', 'jujur', 'salah', 'customer', 'detail', 'info', 'curiga']",kali beli ticket munculbaru jadi konfirm blubca gabisa refund konfirm langsung ribet jujur salah customer detail info curiga
"['error', 'cs', 'solutif', 'thanks']",error cs solutif thanks
"['parah', 'bayar', 'ewallet', 'dikuranginlama2', 'sulit', 'penumpangmending', 'bawa', 'kendara', 'pribadi', 'tranportasi', 'sulit']",parah bayar ewallet dikuranginlama2 sulit penumpangmending bawa kendara pribadi tranportasi sulit
